Consumer,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51
Gender,M,M,M,M,M,M,M,M,M,M,M,M,M,W,W,W,W,W,W,W,W,W,W,W,W,W,M,M,M,M,M,M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,M,M,M,M
User,I,I,I,I,I,I,I,I,I,I,I,I,I,C,C,C,C,C,C,I,I,I,I,I,I,I,C,C,C,C,C,C,I,I,I,I,I,I,I,I,C,C,C,C,C,C,C,C,C,C,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minerva PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cucapa Miel,2,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2
Tempus Clasica,2,1,3,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,3,1,2,1,1,2,2,2,2,1
Tempus DM,3,1,3,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,3,1,1,3,2,1,1,2,1,2,1,1,3,1,2,1,2,1,1,1,2,3,2,4,1,2,1,1,1,3,2,2,1
Calavera MIS,4,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,1,1,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,2,3,1,4,1,3,2
Minerva Stout,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,4,1
St Peters,4,1,3,1,2,1,2,2,2,2,1,2,2,1,2,1,1,3,4,2,1,1,2,1,1,2,2,2,1,2,2,1,1,2,3,1,1,1,1,3,2,4,2,3,3,4,1,4,1,2,3
Calavera APA,1,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,2,1,4,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,2,1,1,4,1,3,2
Tempus Dor,2,1,3,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,4,2,3,4,2,1,1,2,2,2,2,1
Jack,4,1,3,1,2,1,2,1,2,2,3,2,2,1,1,2,1,3,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,3,1,1,2,1,3,2,2,2,1,2,3,1,5,1,1,3
